,price,address,logitude,latitude,zipcode,rent,sale,size,year built,bed,bath,Neighborhood,page_url,description
0,4300000.00,"50 Riverside Blvd APT 7L, New York, NY 10069",-73.991282,40.773993,10069,0,1,1897,2013,3,4,Upper West Side,https://www.zillow.com:443/homedetails/50-Riverside-Blvd-APT-7L-New-York-NY-10069/219667037_zpid/,"For sale: $4,300,000. Brand New Listing in One Riverside Park located at 50 Riverside Boulevard.

Residence #7L is a corner 1,897 square feet 3 Bedroom, 3.5 Bathrooms features 12 Foot Ceiling Height, Hudson River views and warm, modern and elegant interiors by Shamir Shah Design. 

Private Storage is included.

Residence #7L offers a large corner Living Room, Master Suite with walk in closet and a gourmet kitchen. The distinct kitchen is outfitted with polished white lacquer cabinetry, white marble countertops and a stainless steel tile backsplash. Top-of-the-line appliances include Miele stainless steel gas cooktop and oven with fully vented range hood, Miele refrigerator and freezer, Miele dishwasher and GE microwave.

The Master bathroom is luxurious and modern with dark oak vanity with double sinks, marble countertops and walls, Zuma deep soaking tub, Glass enclosed shower with rainfall showerhead and Dornbracht polished chrome fixtures. The second bathroom is bright and classic with glossy white wall tile and white polished lacquer vanity. The elegant powder room features a rich palate with an ebonized oak vanity, black marble countertop, slate grey quartzite stone floor and iridescent accent wall.

Wide plank oak flooring with a custom dark stain throughout and Whirlpool washer and fully vented dryer.

The luxury condominium building features over 50,000 square feet of lifestyle amenities, including LA PALESTRA, a 40,000-square-foot athletic club and spa, which offers endless opportunities for exercise, recreation and play. Amenities include a 75-foot swimming pool, 38-foot rock-climbing wall, basketball and squash courts, two-lane bowling alley and lounge, and a golf simulator. Spa facilities include locker and dressing rooms, sauna and steam rooms, and private treatment rooms. One Riverside Park also includes an indoor playground designed by Kidville, function room equipped with a catering kitchen, private screening room, residents lounge and game room and landscaped garden courtyard.

Neighboring Riverside Park South offers 21 acres of open space, sports fields, playgrounds, plazas, piers and intimate gardens easily accessed by residents. The waterfront neighborhood, stretching along the Hudson River from 72nd to 59th Streets, is also in close proximity to some of New York City's most famous cultural attractions, retail and dining destinations."
1,19995000.00,"60 Riverside Blvd APT 2102, New York, NY 10069",-73.990979,40.774574,10069,0,1,5847,2008,6,12,Upper West Side,https://www.zillow.com:443/homedetails/60-Riverside-Blvd-APT-2102-New-York-NY-10069/117505369_zpid/,"For sale: $19,995,000. Dramatic, one of a kind, sprawling South West corner 6 bedroom, 7 bathroom terraced duplex home with panoramic Hudson River and city views. This home boasts 5,847 sf of interior space including a glass-walled great room with enviable light and sunsets, and double height 20 ceilings.

This impressive entertaining space leads to a sun-drenched terrace of 3,852 square feet with a 37 by 15 private pool. 

A fully integrated state of the art Crestron System controls indoor and outdoor functions, including, HVAC, light and shade systems that are connected to Hunter Douglas shades throughout. Interiors feature Castillian Oak flooring.

Entry Foyer

 Phillip Jeffrey Rock Star Glass bead wallpaper

Wine Units

 Designed by Creative Designs by Sofia and custom built by Joseph & Curtis Custom Wine Racks
 Full glass ceiling to floor tempered glass double sided wine cabinet holds up to 420 bottles
 Ductless split refrigeration system
 Humidor cabinet lined with Spanish Cedar with approximately 150 cigar storage area
 Water fed humidification system with reverse osmosis filtration system 

Kitchen
 Imported Downsview Kitchen
 Calacatta Gold Marble Countertop
 Fully Integrated Gaggenau 36"" Full service Induction Cooktop
 Fully Integrated Miele double 30 Wall oven
 Fully Integrated Thermador Microwave
 Fully Integrated Miele 30 Refrigerator with remote vision module
 Fully Integrated Miele 30 Freezer with remote vision module
 Fully Integrated Miele 24 Dishwasher Diamond Series
 Franke Peak 28 Sink & Pull Down Faucet

Bar Area
 Dark stained cherry wood custom built peninsula
 Fully Integrated Sub Zero 24 Beverage Drawers
 Bendheim glass top insert

Laundry Area 21st Floor
 27 Stackable Electolux IQ washer and vented dryer

Bathroom Finishes
 Vanities and tiles Imported from Porcelanosa in Spain
 Customized Bendheim glass partitions
 Radiant Heating
 Robem Uplift Medicine Cabinets

Laundry Room 22nd Floor
 Customized laundry room in white gloss cabinet finish
 24 Stackable Miele washer and dryer
 Ann Sacks glass backsplash
 Caesarstone countertop
 Imported from Porcelanosa in Spain Tavola Mogano porcelain wood floor planks"
2,17250000.00,"30 Riverside Blvd # PHB, New York, NY 10069",-73.991543,40.773441,10069,0,1,4134,2019,4,5.5,Upper West Side,https://www.zillow.com:443/homedetails/30-Riverside-Blvd-PHB-New-York-NY-10069/2088699164_zpid/,"For sale: $17,250,000. "
3,13950000.00,"60 Riverside Blvd APT 2101, New York, NY 10069",-73.990979,40.774574,10069,0,1,5641,2008,6,8.5,Upper West Side,https://www.zillow.com:443/homedetails/60-Riverside-Blvd-APT-2101-New-York-NY-10069/117505368_zpid/,"For sale: $13,950,000. Exquisitely designed by visionaries, Roman and Williams, this palatial triple-mint 6- 7 bedroom, 8.5 bathroom duplex on the 21st floor of the Aldyn boasts dramatic Hudson River and open city views from every room. The ultimate in luxury is the home's 3,600+ square foot landscaped terrace that hosts a 15' x 37' pool and separate spa tub. Floor-to-ceiling glass windows expose brilliant light and views in every room with double-height ceilings in the formal expanse. The finest select finishes are displayed throughout along with high-end systems including elevator. The stunning eat-in kitchen boast Teak cabinetry, Blizzard Quartz counters, Caldia marble chef block and pro stainless appliances. The first floor boasts an open loft-like expanse with formal dining room, living room and library. With a multitude of possibilities for entertaining/living spaces there is also an open eat-in kitchen with large dining area and den. Two bedrooms and 3.5 baths complete the space. The second floor or residence wing features a 5 bedrooms, 5 baths and laundry. The sublime master suite features an enormous dressing closet and two full baths flush with Bianco Dolomite marble, waterworks fixtures and Zuma tub. The Aldyn, a premier condo, offers white-glove luxury amenities: La Palestra Athletic club and spa, Kidville playground, 75' indoor pool, basketball/squash court, rock climbing wall, bowling alley, yoga/pilates, shuttle service and on-site garage."
4,18800000.00,"240 Riverside Blvd PENTHOUSE 2, New York, NY 10069",-73.987104,40.780532,10069,0,1,4673,2004,3,5,Upper West Side,https://www.zillow.com:443/homedetails/240-Riverside-Blvd-PENTHOUSE-2-New-York-NY-10069/69510834_zpid/,"For sale: $18,800,000. 240 Riverside Boulevard PH-Suite2

Stunning views from every room of this palatial, full-floor penthouse in the sky. Acknowledged to be the premiere Penthouse of Riverside Boulevard, this residence encompasses the entire top floor at the esteemed Heritage Condominium, the only building with the prime location commanding views of both the Hudson River and Historic Riverside Park. This residence covers nearly 5,000 SF of interior space and over 500 SF of secluded outdoor space. 

Elevators open onto the suite's private landing and hallway, providing two entrances to the residence, ideal for entertaining purposes. Immediately upon entering, one is dazzled by the dramatic views of the river and city skyline, framed by massive walls of windows double height open Loggia and soaring ceilings.The eat-in chef's kitchen sits off the foyer, complete with high-end appliances, breakfast bar and ample space for a table and chairs for informal dining. The corner dining room can also be accessed through the gallery, or conveniently through the kitchen if entertaining, and is enveloped with breathtaking views to the south and west over the Hudson. 

The grand living room spans over 70 feet across western side of the residence, bordered by a magnificent loggia/terrace with double height ceilings and imposing columns that frame images of the river and skyline, and the ultimate ""corner office"" sits beyond the living room, also offering unobstructed views to the north and west.Another large living/media room flanks the residence to the north, and boasts an additional grand terrace, gas fireplace and secondary access to the entrance hall, convenient for when hosting large gatherings. 
 
Tucked in the northwest corner, the secluded Master Bedroom suite provides a private sanctuary, with two full bathrooms, and two separate dressing rooms, and boasts a view that spans Riverside Park, the George Washington Bridge, and Central Park.Two additional bedrooms and two full bathrooms and are situated to the south/eastern wings of this truly remarkable New York City residence. 

The Heritage is an elegant, full-service residential building with first-class amenities, including a 24 Hr. doorman/concierge, gym, swimming room, entertaining and meeting spaces, on-site parking garage and playroom.

*Also offered for rent at $68K/month*

240 Riverside Boulevard PH-Suite2"
5,1750000.00,"120 Riverside Blvd APT 11T, New York, NY 10069",-73.989149,40.776333,10069,0,1,1043,2004,2,2,Upper West Side,https://www.zillow.com:443/homedetails/120-Riverside-Blvd-APT-11T-New-York-NY-10069/80009129_zpid/,"For sale: $1,750,000. Amazing 2 bedroom, 2 bathroom home with wonderful partial city and river views at white glove 120 Riverside Boulevard. Located on the 11th floor, the oversized south facing windows allow abundant sunlight to flood the space. The generous combined living and dining area efficiently maximizes space for entertaining and the pass thru kitchen comes fully stocked with dishwasher, stainless steel appliances, and imported Italian stone counters and floors. The plentiful closet space throughout houses a full size in-unit washer and dryer for the ultimate convenience. Two spa-like marble bathrooms, the master en-suite featuring separate shower stall and soaking tub, complete this fabulous property. 
120 Riverside Blvd is a luxury condominium offering a full host of first class amenities such as, 24 hour doorman and concierge, state-of-the-art fitness center, indoor pool and spa, billiards/media room, play room, valet, spectacular roof-top ""Oasis"" and sun deck, and pet-friendly."
6,NaN,NaN,-73.9882,40.7773,NaN,NaN,NaN,1492,2006,NaN,NaN,Upper West Side,https://www.zillow.com:443/homedetails/80-Riverside-Blvd-8E-New-York-NY-10069/2133651657_zpid/,NaN
7,9050000.00,"60 Riverside Blvd # 3201/3202, New York, NY 10069",-73.989997,40.775699,10069,0,1,4123,2008,7,7,Upper West Side,https://www.zillow.com:443/homedetails/60-Riverside-Blvd-3201-3202-New-York-NY-10069/2091962569_zpid/,"For sale: $9,050,000. This home features the height of luxury with only three residences per floor. Exquisitely crafted by visionary designers, Roman & Williams, this high floor corner 3 bedroom, three bath boasts expansive New York City skyline and Hudson River views. Glass-walled great room with Brazilian cherry floors optimizes light and views. Open kitchen features warm teak cabinetry with Blizzard Quartzite countertops with Caldia Marble chef block, integrated dish racks and paneled premium appliances from Smeg and Miele. Teak-wrapped master bath features Zuma deep soaking tub and separate glass shower, Bianco Dolomite marble double vanity and floors. Secondary baths are crafted with luxurious custom crackle porcelain and glass tile. Brushed nickel Waterworks fittings throughout. THE ALDYN sports over 40,000 square feet of amenities including a LA PALESTRA Athletic Club and Spa, a KIDVILLE, NY and more. With a 75 indoor pool, basketball / squash court, 38 rock climbing wall, bowling alley, yoga, pilates, a club lounge, on-site parking and more, The Aldyn is New Yorks Ultimate Sporting Experience."
8,7500000.00,"50 Riverside Blvd APT 26A, New York, NY 10069",-73.991282,40.773993,10069,0,1,3190,2013,4,5,Upper West Side,https://www.zillow.com:443/homedetails/50-Riverside-Blvd-APT-26A-New-York-NY-10069/219666922_zpid/,"For sale: $7,500,000. Quite possibly the best apartment on Riverside Boulevard, with three exposures and unparalleled views of the Hudson River and the city skyline, Residence 26A at One Riverside Park is a one-of-a-kind, 4 bedroom, 4.5 bath fully customized home totaling just under 3,200 square feet.

This private Half Floor residence features a large 28' long corner Great Room, with 2 exposures, and views floating over the Hudson River, up the Palisades, and towards the George Washington Bridge. Spacious and light filled, with magical sunsets and views for days, this Great Room is the ideal place to create memories and share special moments with family and friends. The current decor embodies a Broadway Theatre Set and features an exposed brick wall, an oversized TV, and multiple seating areas. The Great Room is open and directly adjacent to one of the finest formal dining rooms anywhere in the city! Styled after Gramercy Tavern, with a custom reclaimed wood and hand carved ceiling, this dining room features beautiful wood floors, custom cabinetry and lighting, and incredible views of the Hudson River and GW Bridge. Just past the dining room is the large eat-in-kitchen. This fully updated and simply spectacular chef's kitchen, is highlighted by a stamped white-tin-ceiling, a dark grey brick floor, an oversized island with breakfast bar, and top-of-the-line appliances including an integrated refrigerator, freezer, dishwasher, wall oven and cafe from Miele, as well as a Sub-Zero wine cooler. Anchoring the appliance package is a fully vented 6-burner professional Wolf range.

Sharing in the expansive Hudson River views, the large Master Suite features a 19' long bedroom with a beautifully crafted office desk; full walk-in closet; linear and linen closets; and a 4-piece Master Bath featuring a rain shower, siberian beige marble dual vanity, water closet, and luxurious heated fior di bosco floors. The East Wing of the home features three graciously sized bedrooms, each with customized, built-out closets; electronic powered shades and lighting; private en-suite marble bathrooms; and Kohler and Toto fixtures. The home also features an additional powder room providing privacy for guests; a spacious laundry room; multiple-zoned Heating and cooling; a smart home system with electric powered shades and lighting; and custom surround sound speakers throughout.

Constructed in 2015, One Riverside Park is a full-service building with one of the most extensive amenity packages in New York--with over 50,000 sf of amenities, including the 40,000 sf La Palestra athletic club and spa, which offers endless opportunities for wellness, recreation, and play. Amenities include a 75' swimming pool, 38' rock-climbing wall, basketball and squash courts, two-lane bowling alley, and a golf simulator. Spa facilities include sauna, steam, and private treatment rooms. In addition, there is a residents lounge, game room, private screening room, function room with catering kitchen, as well as an indoor playground designed by Kidville.

Adjacent Riverside Park South offers easily accessible 21 acres of open space, sports fields, playgrounds, piers, and gardens; and enjoys one of the last 20 Year Tax abatements, minimizing total monthly costs. There is also convenient shuttle service to the subway.

This stunning and light-filled home was meticulously crafted & designed with the finest materials & luxury finishes; creating an ideal, one of a kind space. The key elements - light, proportion, fluidity & breathtaking views - are all optimized to create a truly spectacular home. With premier services and amenities, One Riverside epitomizes uptown luxury living!"
9,1125000.00,"220 Riverside Blvd APT 16A, New York, NY 10069",-73.987272,40.77975,10069,0,1,979,2000,1,2,Upper West Side,https://www.zillow.com:443/homedetails/220-Riverside-Blvd-APT-16A-New-York-NY-10069/61966976_zpid/,"For sale: $1,125,000. Sleek and stylish 1-bedroom, 1.5-bathroom condo located in 220 Riverside Boulevard, one of the most deluxe, desirable residences on the Upper West Side.

Gorgeous interiors include herringbone flooring throughout, spacious 9' ceilings, and a Pass-through kitchen studded with Black Granite countertops and stainless-steel Kitchen Aid appliances. Windows bring in plenty of light and offer excellent city views.

The spacious Master Bedroom suite boasts sizable walk-in closet and tastefully designed en suite master bathroom. A separate sitting area in master bedroom easily doubles as a home office space or reading nook. 

Practical features of the apartment include ample closet space throughout and a washer and dryer in unit. 

Residents of 220 Riverside Boulevard enjoy all the hallmarks of New York luxury living, including white-glove concierge and doorman service, 24 hour attended lobby, residents-only health club and indoor pool, garden/courtyard, children's playroom, billiards and entertainment room, and attached parking garage. Best of all, residents are only steps away from some of the city's best sights and sounds, including famed Lincoln Center.

Assessment of $344.21 until June 2019"
